Product ID,Category,Brand,Season,Size,Color,Original Price,Markdown Percentage,Current Price,Purchase Date,Stock Quantity,Customer Rating,Is Returned,Return Reason,Discount Amount,Rating Category,Price Realization,Discount %,Stock Value,Stock Status,Discount Category
FB000005,Tops,Banana Republic,Winter,XL,Black,$105.02,0.00,$105.02,06-Aug-25,10,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$1,050.20",Optimal Stock,No Discount
FB000040,Bottoms,Banana Republic,Winter,Unknown,Purple,$101.72,0.00,$101.72,06-Aug-25,40,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$4,068.80",Over Stock,No Discount
FB000041,Tops,Uniqlo,Summer,S,White,$117.86,0.00,$117.86,06-Aug-25,6,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,$707.16,Optimal Stock,No Discount
FB000084,Shoes,Zara,Summer,XS,Purple,$191.96,0.00,$191.96,06-Aug-25,50,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$9,598.00",Over Stock,No Discount
FB000087,Outerwear,Uniqlo,Summer,M,Gray,$241.09,0.00,$241.09,06-Aug-25,26,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$6,268.34",Over Stock,No Discount
FB000094,Bottoms,H&M,Fall,XS,Beige,$80.64,0.00,$80.64,06-Aug-25,26,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$2,096.64",Over Stock,No Discount
FB000108,Bottoms,H&M,Fall,XL,Blue,$63.85,0.00,$63.85,06-Aug-25,41,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$2,617.85",Over Stock,No Discount
FB000119,Bottoms,Uniqlo,Winter,S,Black,$62.93,0.00,$62.93,06-Aug-25,49,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$3,083.57",Over Stock,No Discount
FB000122,Bottoms,Gap,Winter,S,Red,$109.12,0.00,$109.12,06-Aug-25,34,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$3,710.08",Over Stock,No Discount
FB000138,Outerwear,Forever21,Fall,M,Pink,$127.99,0.00,$127.99,06-Aug-25,16,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$2,047.84",Over Stock,No Discount
FB000143,Shoes,Forever21,Winter,XL,Red,$173.91,0.00,$173.91,06-Aug-25,21,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$3,652.11",Over Stock,No Discount
FB000218,Tops,Zara,Summer,XXL,Pink,$69.36,0.00,$69.36,06-Aug-25,25,3.0,False,Not Returned,0.00,Moderate,1.00,0.00%,"$1,734.00",Over Stock,No Discount
